image,desc,link,title
http://cnet4.cbsistatic.com/hub/i/r/2014/02/12/7dab56bd-1ba8-4d11-8e09-ec63f7de8b79/thumbnail/140x105/21c97de3a2f701ccd700d72f725008d0/nokia-1661-black-t-mobile-prepaid.gif,"The Nokia 1661 doesn't promise much, but it doesn't offer much either.","/products/nokia-1661-black-t-mobile-prepaid/,/products/nokia-1661-black-t-mobile-prepaid/prices/","Nokia 1661,"
http://cnet4.cbsistatic.com/hub/i/r/2009/07/19/0a755b76-c6f1-42e0-a8e5-ffcddf330574/thumbnail/140x105/256cec8616c5bb52cc19b8c0c97bb1fc/nokia-surge-smartphone-gsm-umts-3g-2-4-tft-black-at-t.jpg,"The Nokia Surge offers AT&T's younger customers an affordable, feature-rich smartphone, but it has a number of design and interface issues.","/products/nokia-surge-6790-at-t/,/products/nokia-surge-6790-at-t/prices/","Nokia Surge 6790,"
http://cnet3.cbsistatic.com/hub/i/r/2009/05/19/86a5ac01-f9ab-4281-b8b6-f84d7ef79794/thumbnail/140x105/2c81405dc441f574ed9e9a4248638693/86a5ac01-f9ab-4281-b8b6-f84d7ef79794.jpg,"While the Nokia N97 is packed with features and offers the freedom of an unlocked phone, its clunky touch interface, sky-high price tag, and outdated operating system make it hard to recommend when there are better touch-screen smartphones on the market.","/products/nokia-n97/,/products/nokia-n97/prices/","Nokia N97,"
http://cnet3.cbsistatic.com/hub/i/r/2009/03/12/22124fff-2a43-4b1e-8bc7-d9b331e49833/thumbnail/140x105/d8478aed33d4e56e2c4350b58bf03a62/nokia-e75-smartphone-gsm-umts-3g-2-4-tft-ruby-red.jpg,"The Nokia E75 is a nice alternative to the current crop of slate QWERTY messaging smartphones, offering a compact design without sacrificing the keyboard or e-mail capabilities. However, without carrier backing, the unlocked phone is a bit expensive.","/products/nokia-e75/,/products/nokia-e75/prices/",Nokia E75
http://cnet4.cbsistatic.com/hub/i/r/2009/04/02/10767b77-5a6d-484f-8fde-7e4e7b5bb599/thumbnail/140x105/cc8de9a0daf67aa10f1bb674074e72e9/nokia-e71x-smartphone-gsm-umts-3g-2-36-tft.jpg,"Affordably priced, the Nokia E71x for AT&T is an incredible value for business users and consumers looking for a robust messaging smartphone.","/products/nokia-e71x/,/products/nokia-e71x/prices/","Nokia E71x,"
http://cnet3.cbsistatic.com/hub/i/r/2009/10/28/68ad1d88-3d04-4af9-aebd-e10dd3c372b2/thumbnail/140x105/85c6ccea97b4c16b384b3f71b8db2eb4/68ad1d88-3d04-4af9-aebd-e10dd3c372b2.jpg,"The Nokia 5800 XpressMusic offers an attractive design and feature set, but the touch-screen phone has some shortcomings compared with the competition.","/products/nokia-5800-xpress-music-unlocked/,/products/nokia-5800-xpress-music-unlocked/prices/","Nokia 5800 Xpress Music,"
http://cnet3.cbsistatic.com/hub/i/r/2005/04/20/b38a01b5-59e9-4351-b86b-40c51e5adf34/thumbnail/140x105/5cc5dfb4ca7f4575ecf9ac7fc2316ab8/b38a01b5-59e9-4351-b86b-40c51e5adf34.jpg,"The Nokia 6030 is a basic phone that's actually stylish. And with extra perks such as a speakerphone and a built-in radio, the Nokia 6030 is great for those who just want to make calls.","/products/nokia-6030-black-at-t/,/products/nokia-6030-black-at-t/prices/","Nokia 6030,"
http://cnet3.cbsistatic.com/hub/i/r/2005/04/22/b8b1f6e6-49a1-45d3-87c5-23dd09a3bbe5/thumbnail/140x105/81df627360873045ad02a156f8fdbbc9/nokia-9300-smartphone-gsm-tft-silver-kpn.jpg,"The Nokia 9300 includes handy features for corporate users, though some of them could use work.","/products/nokia-9300-at-t/,/products/nokia-9300-at-t/prices/","Nokia 9300,"
http://cnet4.cbsistatic.com/hub/i/r/2014/02/12/2c967019-7725-441e-939a-81399410c1da/thumbnail/140x105/79b24abf98c1fbd79cc403b5856eda25/nokia-6101-black-t-mobile.gif,The Nokia 6101 offers admirable performance in a new form factor despite a dim display and a slippery keypad.,"/products/nokia-6101/,/products/nokia-6101/prices/","Nokia 6101,"
http://cnet4.cbsistatic.com/hub/i/r/2014/02/24/478d9def-c937-4091-9b6e-b4b96d36a561/thumbnail/140x105/b4e433f72d52bdc6b96d39a0cf9f85c5/nokia-3220-mobile-phone-gsm-tft-grey.jpg,"Although the 3220 includes a VGA camera and a speakerphone, this handset will appeal mostly to those looking for an attractive but fairly basic cell phone.","/products/nokia-3220-t-mobile/,/products/nokia-3220-t-mobile/prices/","Nokia 3220,"
http://cnet3.cbsistatic.com/hub/i/r/2014/02/24/d38d5718-13ad-4573-b624-d1fba9e9bf3d/thumbnail/140x105/f03da2c9e3ad31976c0a9e07dc2b5676/nokia-n-gage-qd-game-deck-smartphone-gsm-tft.jpg,Nokia's N-Gage QD second-generation gaming cell phone corrects the most glaring mistakes of its predecessor.,"/products/nokia-n-gage-qd-t-mobile/,/products/nokia-n-gage-qd-t-mobile/prices/","Nokia N-Gage QD,"
http://cnet3.cbsistatic.com/hub/i/r/2010/05/07/622ee4ec-a31b-4a40-83e5-c613ac4f3a6e/thumbnail/140x105/755bb9f1b04b283a30db415ebbf3f7d9/622ee4ec-a31b-4a40-83e5-c613ac4f3a6e.jpg,"The Nokia 6600 isn't the sexiest or the smallest cell phone we've seen, but it packs plenty of high-end features that will please smart-phone addicts.","/products/nokia-6600-t-mobile/,/products/nokia-6600-t-mobile/prices/","Nokia 6600,"
http://cnet3.cbsistatic.com/hub/i/r/2005/04/20/3bdb6b35-13ff-45b5-a824-ac952d548be1/thumbnail/140x105/043c68a2eefd851a8e4c3b9c5573ad62/nokia-3300-cellular-phone-gsm-at-t.jpg,"If you want to carry around fewer gadgets, the music mobile might be for you, but serious cell phone users should look elsewhere.","/products/nokia-3300-t-mobile/,/products/nokia-3300-t-mobile/prices/","Nokia 3300,"
http://cnet4.cbsistatic.com/hub/i/r/2010/05/06/a866f4d8-3e25-446e-b850-6d4b21bf9afa/thumbnail/140x105/f5f3cb60108e01facbf669aa9f780e0e/nokia-3650-smartphone-gsm-t-mobile.jpg,The 3650 is a cutting-edge mobile that sports all the must-have features for a less than astronomical price.,"/products/nokia-3650-t-mobile/,/products/nokia-3650-t-mobile/prices/","Nokia 3650,"
